"Namespace","Repo","Reference","Year","Month","Start Date","Unique IPs","Pull by tag","Pull by digest","Version check"
"osrf","ros","sha256:fafc7fea1c940ba4a0bc6ca8cb026ccc628f84c7af65a393e3285e5730e6eff2",2022,10,"2022-10-01",13,0,34,0
"osrf","ros","sha256:a9acc69856b537840f223fa99a6f540724a1ee1881d5a37c24f362194cd3c04f",2022,10,"2022-10-01",9,0,10,0
"osrf","ros","kinetic-desktop-xenial",2022,10,"2022-10-01",7,6,0,6
"osrf","ros_legacy","boxturtle",2022,10,"2022-10-01",16,21,0,0
"osrf","ubuntu_32bit","wily",2022,10,"2022-10-01",16,21,0,0
"osrf","ubuntu_armhf","bionic",2022,10,"2022-10-01",25,1017,0,3508
"osrf","ros","sha256:819958e23d29e94c8b43cb95f5ade48601c3d1d3519cb42054a26fbecf28027e",2022,10,"2022-10-01",5,0,5,0
"osrf","ros","sha256:d9825ee67d540ab256a7fe1286cda4e2c3db568a53151df0f87f63a124881504",2022,10,"2022-10-01",23,0,23,0
"osrf","ros_legacy","sha256:a67f69de75ed951396e2fa37eba00e5b7b8b2f7169cfac1be334e08eee1e6dc6",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:5963fa478c4daa2f8407dd6f0ef291466561ba9a33ac35a51e5024d78b18bbaf",2022,10,"2022-10-01",6,0,6,0
"osrf","lrauv","sha256:9b6dbeff99459a4fbb5ffc17fb68f2c92152b2785bef7738ad72b6629c884b0b",2022,10,"2022-10-01",4,0,4,0
"osrf","debian_armhf","stretch",2022,10,"2022-10-01",17,21,0,0
"osrf","ros","sha256:d1f6a4b9da0529aaffae8e546d94fb3b754a21e5ff34475081748f26fcad0ffe",2022,10,"2022-10-01",5,0,5,0
"osrf","ros_legacy","sha256:b003c1cc9deebfcf66eb8c4c6f6c666d16668c4fa5128ac506ded860a61c24c3",2022,10,"2022-10-01",2,0,2,0
"osrf","lrauv","gz-garden-256-merge",2022,10,"2022-10-01",5,5,0,0
"osrf","ros","sha256:f58c0a8b4e2991966db1483bd85008b7d3e9e5851cfc41a533c5606e6864ef3a",2022,10,"2022-10-01",3,0,3,0
"osrf","ros","sha256:b9ca1ff57b66a063c75adae6d5df541a02efccc12ac47ac1ba58901ec213eda3",2022,10,"2022-10-01",6,0,6,0
"osrf","lrauv","sha256:5f70d8e13239a273165f9a4d174c4c8533cfca939d623375c9caa38b5e3186ad",2022,10,"2022-10-01",4,0,4,0
"osrf","ros","sha256:8c4d7d70977e865246f8e80ff8779c089b267af47fe8fdbb2bc71797a9efca53",2022,10,"2022-10-01",3,0,3,0
"osrf","ros","sha256:757ab4c73ecdb71d66debf55ed809b0cd9a3882f023e62ac7a95a628e169479d",2022,10,"2022-10-01",5,0,7,0
"osrf","lrauv","sha256:84a6049bd9fa8fcbc611bba57f7bac0fa419b670d88777878390b666b846c832",2022,10,"2022-10-01",4,0,4,0
"osrf","ros","sha256:2cc90d6d45a84925606256ff723358bca7823c7399cd16fa053d253328060c9d",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:78a7fc7235e10347df239cde28317ad8c0bae33ef2aee87e44e72657ad8f90f1",2022,10,"2022-10-01",11,0,12,0
"osrf","subt-virtual-testbed","sha256:b58492abce68b7a98c5628f2a2002c0a9408e9e71e35cb925f0cc9d03070a89d",2022,10,"2022-10-01",3,0,3,0
"osrf","vrx","sha256:21aa22c023fa6060c16573e0303099328b3205a4aa9c9bcf7ef3681a233713e0",2022,10,"2022-10-01",2,0,2,0
"osrf","ros","sha256:91c16c6af901d829b71c953b39490d841bfe0ed23a6b9b94d3b7c88c38962838",2022,10,"2022-10-01",3,0,3,0
